text,label
سيده اعمال عندها شركة صرمناتو,0.0
باهي اللي انظفت من عجاج اجدابيا,0.0
اشبح لي يديه ياولاد وربي ماتقولي ايدين عمي ميلاد,0.0
شدونا هالفا سدات وحطوهم قدامنا ليل نهار تف و عليك وعليهم,0.0
سيدات اعمال ههههه بال عكس عهرت اعمال هك,0.0
خالهم ميلااد.,0.0
شلافطية,0.0
ههههه كان يجرب في المحرك std ولا مخروط,0.0
واضحة الكتيب بودري,0.0
امشو. عيدو على أسير تشاد فى الرجمة,0.0
تم البيع للتركي من غير ضمان كربون والمحرك.يعني قطوس في شكاره بالخساره يارب,0.0
والله لو تديري ما تديري تبدي بنت سلطانه طوط والتاريخ لن يرحم ماضي حد وانت تاريخك وسخ انت وسلالتك وعيلتك,0.0
مصح طوطه هو وياها ملكة الدعاره,0.0
الحمدالله الوشش كلهم مع معمر,0.0
مصري علي تركي علي فلسطيني كلا البركاويات,0.0
الام بيتش والاب كاكولد مسكين الولد,0.0
ملكت الشلال وليس الجمال,0.0
كانش ملكه جمال. تشاد ولا النيجر,0.0
ربربت من البزاع يا بحبوح.,0.0
تقول عنز,0.0
تركيا كلها في بطنها تعدد الجنسيات,0.0
لونها زي حاشية الجابية,0.0
أطيب الخوخ ويولي ل أصله فشكت زي البرميل,0.0
تاريخ أمه مشرف إللي في بطنها,0.0
غطو ليبيا بنايلو ازرق واللي يسأل علينا قولو عندنا صيانة,0.0
ملكة تشتها على قولنا وا شكراً,0.0
زي شكارة الرز,0.0
مش عارف كيف وفي اول مره في التاريخ راجل يتجوز راجل ويحمل,0.0
شن حال اركابها ملكة الجمال,0.0
ميلاد واقف وراها مبسوووط,0.0
ملكت جمال طاقتها,0.0
المشكلة العيل بيطلع بيلقى العيله كلها ألعبي🤣,0.0
وجعني حاجه وحده العيل اللي بي يجي لدنيا وامه بنت السلطانه,0.0
ولدها حتى تناديه ياولد القحبة مايزعلش لأن مولود بالفطره ع الشي هذا,0.0
ماما واحد بابا هلباااا,0.0
ولد شرعنه احله منها كيف اجمل بنت,0.0
صح ملكة جمال وانسانه محترمه تقدم في محتوى رائع مفروض كلنا نوقفو وراها ونبعبصوها,0.0
ماما واحد بابا كتيرررر,0.0
كمشة حيوانات (معيز)دايريينلهن شان ومكان,0.0
نفخ الكوره التيس ممتاز جدا بعد بربشوه بقرن فلفل,0.0
زي برميل مخلل على قلت باب الحارة,0.0
فاتحته عل البحري,0.0
حامل ب6 توأم كل واحد عنده بو بروحه,0.0
واشمة علرقبتها عن تريح عليك منظر سمينة وشينة احلام الخليج 2,0.0
حمل شرعي ولا سياحي زعما,0.0
كيف النعجة,0.0
هذا ملكه جمال شفايف ناقه خشم افارقه حنك تذبح به الطير,0.0
محصله برشني ..باهي شكله,0.0
ملكة الشلال الليبي,0.0
لونها برويطي,0.0
زي جيفه,0.0
وزعمه زواجهم في عقد أو تحت التجربه,0.0
ملكة امخاريقها,0.0
مشناها وهيا متعرضه ورقبتها مي ضهرها تحساب روحه ننسي امنزله روحه,0.0
قصدي حامل منين والولد قداش عنده بوه زعما ,0.0
وقالك العيل مش معروف منو باته,0.0
تجميل واظح ملكه انحلال مش جمال,0.0
ملكة جمال البقر,0.0
منطرها زي شلافكه الجمال مخطمش من بحدها حتى الخطوم ,0.0
منظره تقول قدره نافس,0.0
قصدكم شماخات يحملن,0.0
مشينها اعععععععععع رابي مسخها,0.0
عليش تبي اتزرع ساد هي,0.0
اففففف صنتها. زفرة🤣,0.0
فمہا تقول الحاجہ منیی متع پوریک,0.0
انضرا حملت من هدا البوفته يلي وراها ولا في اننننااا في الموضوع,0.0
ملكة جمال امها الفانص,0.0
هذي ملكة جمال العفاريتتتتتتتتت,0.0
صنتها بصل,0.0
تي غوله غوله وين جمال الي فها,0.0
شكله اللي وراها بو قرون,0.0
ملكة الشلال و الزياط و الخمر,0.0
ملكة الشياطين,0.0
وووووه فتحت فرع من شركتها ( شركة لقي لقي للاعمال الحرة تحت الصرة شعارها الدفع قبل الرفع )الله عليك يا فخر اجدابيا,0.0
وخيرها تفتتح أوي (بصوت عادل امام),0.0
فانصت الاعمال,0.0
عندما تمشي المعزه ع الزليز يعني تعقب وراها غير البعر ههه,0.0
هالشلتوتة قعدت سيدة اعمال هزلت,0.0
من جماعة العبي,0.0
وجعني الطفل بيكبر وبيقولوله ياولد السلطانه 💔,0.0
هدا حليب سيليلاك شن يدير ضنوى مزبره,0.0
هما هاذم اللي يقولو عليهم الضنوة الفاسدة ..,0.0
انحب نبشرك أنا الطفل هادا حيكون حاكم ليبيا في المستقبل زي صغار السلطانة الي يحكمو فينا توا,0.0
تربية تونسه كيف تبيه تكون,0.0
طنش تنعش تنتعش يا عربه العائلات الشلكلك هكي جوهم,0.0
زوج وداد السلطانة يفوز باكتر انسان ميسواش في سوق التريس,0.0
يفوز بجائزة افضل إيريال بقرنين,0.0
انت احكم فنساوينك اللي فحوشك ماليكش علاقة بنساوين اللي بينك وبينهم بحور ومحيطات وتاشيرات وتذكرة طياره سادك شاد راس شارع مداير بلكه ومقعمز تفنص في خش وطلع وتقول هضا مش تريس,0.0
علي اساس لعندنا فحوله,0.0
وراها صاحب العملة فرحان ومبسوط .لو كان هو اصلاً,0.0
شكلها تاكل فيه من الجيهتين,0.0
حتي هوا حنتكور نفخها هكي 🙂,0.0
تمت احشرا,0.0
تشبه أبراهيم جدران,0.0
لانها بتجري( ستنجب جرواً ) ومزال بيطير وبرها,0.0
خيرها نتفخت. هالرمه,0.0
بنات حرام لا عندهم لا اصل لا فصل يا خساره ريحه هيبه الدوله كان هذاك راهو في شكاره جايبين ومعاهم امهم البدرونه الكبيره شكشكات,0.0
نسمع باولد الوشه لين شفتها,0.0
زعما بعد يكبر بيقولوله ياولد شن؟,0.0
هذا بعد يكبر يقعد يداعك فينا في الوطن,0.0
الام وداد الاب اسطنبول,0.0
الام وحده والاب بالشبعه,0.0
تقول يشوف فى جرو,0.0
توا يبكر يقعد زيي وليد اللافي ويمسك منصب,0.0
المعزه ولدت لكن التيس مش معروف من هوا,0.0
نيالها ع الزعكه ديالها البتشه,0.0
تاكل فيه ماكله,0.0
يجب اسقاط الجنسيه الليبيه عن القحبه لكبيرة السلطانه وفرخاتها القحاب,0.0
لا ما تعدلش عليهن هذينا اقحاب مش من تصنيفك انتِ تصنيف متاعك 'Peaches',0.0
ركبه حمد ولد جيرانا 24 ساعه في شمس انظف منها,0.0
يامزوق من برهه شن حاالك من دااخل,0.0
بان الكرناف يمزوق من برا شن حالك من داخل,0.0
لاعبة بطش لين ركابها موليات زي الحدارة,0.0
واضحة ليبية من سيقانها,0.0
مفحمه زي طنجرة الزرادي,0.0
لما الشلال يدير رجلين,0.0
ركابها اتقول اركاب جمل حشم حالها,0.0
عاهة والله المشكلة مش في تنظيف البشرة المشكلة في الدماغ الخامر شني ينظفه,0.0
خيرها ركبها مصديات,0.0
مش منها من ديرني برويطه صار الاحتكاك😂,0.0
"شكله عشيقها امشيها مباريات علي "" الزليز "" اركابها سووود زي الناقة",0.0
لحمهم رخيص بنات الكلبانة,0.0
كرعين الجمل,0.0
كتيره الركوع ولا تصلي,0.0
هذا وتستعمل في برندات امالا كن تستعمل فازلين كيف بيصير,0.0
كناسة المنشور وصاحب المنشور الذبان الأخضر,0.0
هذي المفروض تلبس قامجو بيش تستر هالركب السود اتقول امزحفينها في الساحة,0.0
واضح مجهودات جبارة وركابها من العمل سود,0.0
م منها مني الي تاكل فيه في امعائها دير وضعية الكلب ومستمتع,0.0
بارك الله فيه التركي اللي قاعد شادك,0.0
زيت كراهب,0.0
كله كوم و شواربها كوم اعي,0.0
نهار احرف شلاقم جمل نسمع بيهم لين ريتهم,0.0
هذا حد الزين محلاه الفلتر مداير خير في غيوننا,0.0
زيت اكثر من الحمام القمرى,0.0
اعيه وافيه واخيه,0.0
لما تفتح مغطة مجاري,0.0
شوف لمصننه,0.0
البشاعة والشناعة والخلاعة والصياعة والمياعة,0.0
الخامرة طول عمرها خامرة,0.0
تقول مدايره حادت ووجها خشش ف الدومان,0.0
تعالا يا مارك كان تبي تشوف المومياء عالطبيعه,0.0
ماشاءالله تبارك الرحمان الله يحفظها في ثلاجة الأموات,0.0
قداد مش وداد,0.0
ادم العماري ربي يهديك وتولي راجل,0.0
رابش مسكينه,0.0
المشكله طبو مش عادي غير هيا واخذه في روحها مقلب مش عارف شكلها عيونها يوجعوا فيها,0.0
مروه هادي وحده ممسوخه ممخليه حد ف حاله,0.0
الله يرحم لما كنتي معسلة في اجدابيا تركيا نضفاتك,0.0
اوكي عل اساس الله يرحم الكوتيب العائله صورتك فيها تفجع باهي اللي نظفتن يامخمجات,0.0
قمة شرف يا اكناست شرق,0.0
ايجيركم الله من الامعفن بعد اينضفنه الأيام,0.0
انظف من يا مخمجي يا فشل,0.0
أهني المشكلة ماعندكش أنوثة زيدعلى ذلك وجهك كله ستوك ومردود ع البارد ومعبي زيت ناقصة اتخشي الكوشة وتتحمري بس أستغفرالله اهو انتمرت عليك كويس هكي توا,0.0
نيالها ع الزعكه ديالها البتشه,0.0
الطاقة كبرت من الزعط,0.0
مجاري,0.0
رجل طاقته و طاقتها و طاقة لي مايقولش طاقته و طاقتها,0.0
بعد المعاينه والتجريب  والكشف عالكربون,0.0
جورجينا لاكن مسخرش ربي الحال,0.0
اول مرا نشبحک محترمه و لابسه محترم,0.0
شوف الصاله شن وضعه في الورشه اهم شي مافيهش هز,0.0
كيف رسميا يعني قبل كان مسلسل ولا كيف,0.0
والايام الفاتن زواج عرفي سنوات الضياع,0.0
أملا الشهور يلي فاتت زواج تجربة ولا شن,0.0
لاعبين فينا الاتراك بعد المسلسلات,0.0
قيسها ماسكه عليه حاجه,0.0
وقت تقرزين توا,0.0
تخلع,0.0
وجها تقول مقعد,0.0
والله كان رجل أعمال تركى سيب تركيات وبحت فى وجه,0.0
بسبوسه تخدم حتى غادي,0.0
بعد عشرة سنين حفر,0.0
مايا خليفه فرع تقسيم,0.0
مبارك عليك الق… ياغالي,0.0
نسمع بقولة يزابو في الترك بالضراط نين ريتها,0.0
شراءها بي ضمان هذا 🤣🤣,0.0
المحرك مخدوم ترليون مره يامعلم,0.0
ريت وشش يباركن كلهن عاجبهن جو بنات سلطانه,0.0
ماشيه واجد في العداد والمحرك على طريق,0.0
الف الف مبروك ياوشه,0.0
حشهولك يا معلم,0.0
يومين وبيطلقها بيلقاه اسود تقول تنور,0.0
البسبوسه بتاعنه مفعولها قوي حتى برا لبلاد ,0.0
اكيد زواج متعةبعدين ادقها كانشو على مخريقها,0.0
قصدك الي فات كله كان تشقليب وقلب طواقي,0.0
وين ي غالي رآه استعمال محلي أوربي كان عندك العلم ,0.0
لبدا لما يعيط فيه يجاوب من الوسع,0.0
صكّر علينا فجوة من فجاويهن الكبار,0.0
شن كانت ادير معاه فحوشه الوشه,0.0
له زمان راكب,0.0
انعن ضعف,0.0
خذها واتيه الغضيب,0.0
اكيده انت الخال ميلاد صاحب الصفحه,0.0
باهي ستر عارنا ربي يستره عليه,0.0
انحشاله طوبو مفلير مسكين,0.0
داقرة ولقت مغطاها,0.0
مبارك الحشية ياتركيا اول مرة تشد ونحشوه ديما حاشينهولنا,0.0
وهكي نقولوا حتتكاثر عيلة ميلاد أكثر وأكثر,0.0
شنجو المحرك...استندر ولا مخروط,0.0
حشيه بشهودها,0.0
قالك البسبوسة الليبية مفعولها قوي وصل ل تركيا,0.0
بالك يطلع راجل ويربيك,0.0
قصدك الوشه يقولو عليها بلوقر توا,0.0
صار منها الخويمرة,0.0
الله يرحم لما كنتي معسلة في اجدابيا تركيا نضفاتك,0.0
اوكي عل اساس الله يرحم الكوتيب العائله صورتك فيها تفجع باهي اللي نظفتن يامخمجات😜,0.0
قمة شرف يا اكناست شرق4,0.0
يسلم عليك عجاج اجدببا يا مزيتات امتا عرفتن النظافه مهمه نضفتن مهما لبستن الشرف ما ينظف ياعفط اجدابيا يا,0.0
النظافة مش فالصناين والمزيلات يامزيتة النظافة انك تكوني انسانة دات خلق وحياء وحشمة,0.0
قحبه وبالدروج,0.0
خزيه انتي امزيت ومحمض كنتي تسكني في حرت انجمين امع السودين نضفك جضرن ياكنس,0.0
النظافه مش من البرا بس ,0.0
كلبه اصلك🤭,0.0
تفي عاليك يصاقطه,0.0
نضفي.عرضك.قبل,0.0
درينا.العار.فى.تركيا.المراه.اللبيه.اشراف.منك.ياحقيره يوليك.من.ربي.انتي.تاريخك.اسود.كي.وجهك,0.0
ههههههه غير شوفوا مني اللي ينصح ويعطي في مواعظ,0.0
بالله روحو بيهم هالخمر واقطعو روسهم هالخامرات,0.0
يمين بالله لو تغسلي بكل انواع شامبو وبلسم وكل انواع روائح انك ماتنضافي للوسخ انواع والوسخ موجود عندك ماينضاف,0.0
انوته تبي تبرزيها وينها الانوته اللي عندك منظرك طالع زرده,0.0
كناسه زايد زباله,0.0
مفيش اوسخ منك يا مزيتتة,0.0
تي بري يا معفه شوفي مكياجك تحسابيه سمح والله زيدك قبح على قبحك دروحك تنصحي تي إنت كلك على الشارع واللى تدوي عليهن أقل شي عفيفات,0.0
ريت هالخمج اللي يحكي,0.0
ههههههههه على أساس انتي مش مزيتةومعسلة ياعنز يافرخةلحرام,0.0
المزيتة افضل منك ياعيني بس انت كناسة قعدة لي كل كلب يا كلبة الحمدلله على نعمة ليبيا وانعمة السلام وانعمة الخلاق,0.0
عدي يا شر............م و ط......هذين أشرف منك,0.0
سكري فمك يا وسخه نضفي روحك بعدها تكلمي,0.0
وانتي امتي نضفتي يامزيته هههه مانعرفوكش وين كنتي عايشه ..ياكناسه هدينا لي تحكي عليهم انضف منك,0.0
عار مطرطر خزيه,0.0
امغير.نظفي.سمعتك.واخلاقك.ياالساقطة.يامتاعة.الاتراك.,0.0
والله مافية واسخة زي واسختك يا بنت الحرام,0.0
سنكوحه اوقحبه او عينك قويه تدوي ع النظافه يانجاسه,0.0
ونتي وينك من النطافه صارلك زي الحمام ليجي ايشخ فيك ويمشي كيف تتكلمي علي النطافه,0.0
انتى اوسخ وحدة فى الدنيا كلها انتى وامك وباقى عيلتك بنت حرام صرف انتى,0.0
نضافه الشرف يا احقر البشر,0.0
تي روحي يمعغطه يشعبي عام,0.0
و الله حتى انتي كان يفتشوك من لوطا يلقوك مدودة صنتك شلال,0.0
انتي رخيصة. يا بنت القحاب كبير,0.0
ماطالمة خذيتي وتزوجتي خنزير اكيد بنتك وريحتك حتي انتي خنزير كيفة يامدام,0.0
زي النعجة قد ماتنظفي ياااات وسخة,0.0
القانك انتي وهي للمعفطه الحق تمشي للتركيا تشوفها ماتجيك نيه اتنيكها,0.0
قبحه بنت قحبه,0.0
ياشخاخ قعدة بي 100دولار اليلة والامدير تخفيظات,0.0
ياسرشرفك بيعتيها بي 100دولار ألي أجي يغطص,0.0
زمان حتي الخ ص ا و ي ما تهلب فيهن ضروري ترضعهن ,0.0
اخمر مخلوقه على وجه الأرض انظف منك اليبيات يا مصردنه,0.0
بنات ليبيا اشرف وانقه منك يا فاسده امشي سحيقه تسحقك,0.0
مااحرف من تومه كان كرات تفو زي بعضكم وانتي زيهم,0.0
خزي مخمجات زمن الي ينظرها يقول بنتا عفن وتوا تفسوي علي نضافة وكانت اخمج وحدا,0.0
ع اساس الانوثه فيك انتي بوعجيله يحكي,0.0
مصح صرمك قمة التفاهة هههههه,0.0
يامعفنه انت تصرف عليك منظمه مشبوهه لضرب الأخلاق ياقحبه يابدرونه ياخامجه ستندمين يوما ما ياعاهرة حيث لاينفع الندم اتفوه على شكلك لمعفن,0.0
روحي ي قحب,0.0
روحي ياشخاخه امشيتي شهر تركيا درتي روحك ياي,0.0
تبري يا قحبه,0.0
غير كان نحصل عليك في تركيا بس تو نوري دين امك انضف وحده كيف يازباله انتي و خواتك و امك الخامره,0.0
اترعش في جميع الأحوال بالفلتر ولا من غير فلتر ترعش,0.0
خيرها خشمها تقول انجاص لطف,0.0
غوله وفى يدها غربال,0.0
ماضميتي حوسة حوشك يابال اديري عصبان 😒بتربيها قالت,0.0
قيسة بختا عطيب ها بنية ع أثر ولدت في عام زلزال ع أثر تريد تربيها واداد يا عليك عذاب غير تربي روحة,0.0
ريت ها لمليكه اللي تبي اتربي ها لمليكه لاحول الله,0.0
غير تربي روحهااا,0.0
مبارك علها نار من توا,0.0
علي ماليطت في وجها قاعدة فيها حاجه غلط ومش حلوة بوووكل دنوب عالفاضي ولا🫤,0.0
عمي بطمه بريئ منها هدا شن اللطف,0.0
يغيرولها ف جواز سفر وبطاقه شخصيه كل متغير ف شكلها؟,0.0
زي الغوله تقول ربي ساخطها,0.0
على ثقل دمها ماقدرتش نشوفها حلوه حتى لو هيا متغيره,0.0
تمرعش مشناها,0.0
شكلها شاربة ماجنهم وماجن جيرانهم 🙂,0.0
هي تفضلي البلغمة اليوم,0.0
تقول من كوكب فيقا تخوووف,0.0
تعطي علعزوز اللي تركب فوق المكنسه وطير فالرسوم,0.0
كان نعرف شن وكلته محمد الترك لما شافك 😂🤦ليس على المريض خرج شعور بالنقص كيف كانت,0.0
نحسله مش طبيعي الراجل رغم أنه حرام فيه كلمة راجل لكن هكي يبان مغوالي ولا فيه خلال مش طبيعي,0.0
التاكيشي وين رنوا عليه خليه يمسك خواته,0.0
ابو بدر و فوزيه اكيد بيطلعو على بعض,0.0
الكناسه انظف منهم,0.0
سروال جلد تحساب روحها هولاكو,0.0
راجلها انحسه مش طبيعي زي المطرشق امبيله مفهمتاش كيف,0.0
عرصه,0.0
مبارك ع الضبع حمارته,0.0
الزباله ماتمشي كان لزباله,0.0
هضا باط باربي مش باربي,0.0
زيت البركه,0.0
خامره لنم,0.0
خملج,0.0
باربي طرباقتها,0.0
باه هيا ع اساس باربي هوا شنو بارب,0.0
مجابتش من الباربي مغير حرف الألف😃,0.0
رايحه جراده مش باربي,0.0
ودادات الزوز حاسبينه من صنف الرجال انتم,0.0
يعلم علي الله انة غانجو,0.0
تتفضل اصلاالمنصا نقصها وداد بس خلي تردحلهم شوي لانها فالحه في ردح,0.0
قعدت علي هدي الي اصلهاليبياخالي اتجي ريتيش هالانجازالي جايين علي خاطره,0.0
ذبان زي بعض,0.0
الامجاد هادا يومها,0.0
نحسابها مايا خليفه قداش تشبها,0.0
قعدت غير عليها لكنايس كلهم لميتوهم,0.0
والله ف حوشنا معندناش زيت واجد بدات زيت زيتون من زيتات الي جن في ليبيا!!! 😂🤧🤮 مش ناقصين زين هلباااااااا منقصنا غير دواد,0.0
ناقصها غير وداد الحفله والله كلهم برانيه كمشه سرايف,0.0
واحلاا 17قهاير,0.0
حفله والراعي ميلاد🙂,0.0
استناء شويء نحاول كيف نصور العار,0.0
كيف صار ولت زي الكلبه من كلب لاكلب كل مره مع واحد مني راجلها,0.0
بتريس الي صاير ف سوريا مفروض ف ليبيا,0.0
نهردت وهي مهرودة قداش ليها,0.0
مافيش خبر علي الزلزال,0.0
هوا شن قاعد حتا خالهم ميلاد مفروض تندوه,0.0
انحس في اليبيا اي ساقط ولاوحده ساقطه اقيمها بيهم,0.0
باش تسلطنها حتى هيا,0.0
الله والنبي ان ماسيبتيها في حالها الزلزال ولا تربيها انتي,0.0
وسعي النشاط مش خير منك الينا انجل اكيد في محتوي,0.0
ونعمه التربيه رقاصه بارعه,0.0
خيرها عيونها بعدسات تقول عوره وشعرها جيها منتفه وجيها زعميتها طويله ياريت عقمة السلطانه ...وووك ووك وينها السلطانه من.هدا كله,0.0
مانحبش نتفرج عليهم بس الفيديو فتح قدامى ههههههههه المشكلة لا فيع جمال ولا ذرة اغراء شن يديرو ما فهمتش هههه,0.0
لا حول ولا قوة الا بالله قداد في ركبتي اقل مافاها تعلم الرقيص والحركات قبل 😑استغفر الله العظيم الحمد الله علي نعمة العقل والدين,0.0
ذنوب اكسترا ع الفاضي الصراحة لا جمال لا اغراء لا دوق بليز وداد معاش تلبسي عدسات وربي مش ماشيات معاك وفمك معاش تمديه تلاته ميترو القدام مش حلوة الحق,0.0
هدا مرض نفسي ياروحي تحساب حد بيشوفلها هكي وهي مقززه اع اع,0.0
محمد صلاح ف المرتبه الثانيه للأخلاق مابعدما قامت بنت السلطانه بستر نفسها وقفزت الي المرتبه الأولى,0.0
انا كان سكرت النت بنسكره ع خاطر التشيواوة اهيا مولية زي شيشمة الجنان في كل مكان تلقاها دنوب ع الفاضي يامسمار مخزز ديري كوشة واسترزقي وين ماقاعدة لوحي عليك الي اديري فيه,0.0
شي حلو عند هالصبح والواحد صايم بدل ما قاعدي تتخلوعي وتقرفينا روحي دوري عا ماسكات تفتيح منطقة الاندروير افضل الله يستر عليكي,0.0
والله ذنوب ع الفاضي والله العظيم مافيك ماينشبح تقول بوبريس,0.0
مش عارفه شن تحسي فضضي اوخيتي خيرك لفجي في ولايا ستره باهيه:/بنات لعريانا,0.0
تي والله ماتعرفي ترقصي ولا عندك علاقة بيه نهائي طالعة غير تستعرضي تقول بضاعة مدعومة انطمري ف خربتك وهني روحك رهمة حشمتونا قدام الاجانب 😡,0.0
لا وتجبد في القفطان خايفه علي روحه هدا لي يقولو عليه مؤمن رغم الظروف ,0.0
ترقبو قريبا وداد بنت السلطانه على xn.,0.0
توا فوق ما أنت شينة تأخدي في ذنوب قعمزي بالله وتوبي رانا في رجب المبارك ياهمي,0.0
مسكينه راص ماله 2كليو مواخره اتهز فيهم,0.0
كله ما انشوفه تخطر علي دجاجة المريشه,0.0
ومزال عمتك السلطانه كل شي عندها عادي الا التصفير في الحوش حرام,0.0
الله ع اخلاقك يافخر النساء اتنزل في القفطان ع خاطر اركب ربي يزيد من اخلاقك يافخر النساء,0.0
ركابها اسود من حياتي,0.0
المهنة .....طوط فهمتو وفي الجديد مفيش طوط على طول,0.0
تي به إلى مافتحتاش قريب أنقذت وضوئي,0.0
ستر يا ربي شينات و هكي دارو ماله كان حلوات شن دارو,0.0
انا مشكلتي معاها البنادمة هذه في خشمها مولّي زي شرّابة العصافير ,0.0
تي كان كان يشوفك يهرب وتقوليله تعاله غبر فيك حشمتونا سحيقه ان شاء لله ,0.0
كان سلباته احسن باش زادات الإغرات اعلاش تنزلي في,0.0
لو سمحتي غيري علي شعبولا لايق عليك اكتر مستحيل نسمع لنانسي و نشوف في ابريكه,0.0
المهنه .. خايبه وادرهلنا في كبودنا,0.0
مشكله لما حد يبدا عنده فلوس والدوق صفر محلاها لما تكون هديه نازكه وبسيطه ولا القربج هدا كله,0.0
المشكله تشوفها الصبح كيف تنوض من نوم فيها شبه من البوخه😂😂ولد شارعنا,0.0
هيفاء وهبي واكله كعك امي,0.0
